GeneName,U1,U2,U3,UZV_1,UZV_2,UZV_3
LINC00520,0,0.0261023,0.0250708,0.25285,0.315723,0.0712443
QSER1,17.6171,20.196,20.5112,9.47914,9.56153,10.8978
NPY2R,0.0192744,0.0185695,0.0738212,0.0356673,0.0181815,0.0182077
PFDN2,89.1001,70.3881,76.5134,124.622,125.372,116.796
ABCG8,0,0,0,0.0180969,0.0188048,0
ARHGAP25,0.056946,0.0654868,0.111376,0.159446,0.191313,0.301548
EIF1AX,35.808,34.9065,37.1431,30.8248,32.697,32.5049
TBC1D3P1-DHX40P1,0.998761,1.01453,1.17087,1.10797,1.22714,0.865559
FAM228A,0.0500687,0,0.0476512,0.0235218,0.118027,0.0248492
RNMT,10.615,10.3729,10.9757,11.4794,10.9644,11.0588
RASA4CP,0.522816,0.671587,0.588879,0.734253,0.617137,0.702455
PRRG1,1.85938,1.98562,2.0569,2.72193,2.95425,2.71629
MLIP-IT1,0,0,0,0.107283,0,0
MSTO1,19.5259,17.7433,17.5707,25.7123,24.119,22.7899
JAKMIP3,0.735274,0.637414,0.882789,1.30506,1.26655,1.51973
DUSP1,6.69666,5.83013,5.50861,9.71606,8.55293,7.93804
PPP1R21,6.32769,5.61975,5.85997,7.58826,8.26799,7.85385
LBR,48.9136,50.1045,49.6123,43.0316,47.149,49.5747
PPP3CA,11.1664,9.70306,11.0404,8.85405,8.90925,9.97431
SGMS1,5.85483,5.80763,6.66844,6.77011,7.32296,7.23077
ZSCAN23,0,0,0,0,0,0
GPATCH11,13.1849,13.0768,13.5869,11.0702,11.6535,12.3372
SAP30L-AS1,0.980053,1.24756,1.3912,0.530969,0.408557,0.711906
HABP4,5.6699,5.05073,5.7421,5.18381,6.42066,6.63829
KLHDC3,37.0457,32.6593,33.4631,38.7681,39.0735,38.0208
FAM110C,0.0142672,0,0.0130283,0,0,0
SBDS,71.0263,61.5637,68.523,71.2745,77.6045,68.1158
RBMXL2,0,0,0,0,0,0
WHAMMP1,4.55874,4.9396,4.54596,6.30156,5.30472,7.63884
CHRNB1,0.720522,0.496783,0.699006,1.69258,1.85305,1.75628
ERICH1,5.52316,5.18062,6.4117,8.18142,7.77927,7.66838
LOC100270804,0.150573,0.123332,0.207069,0.142862,0.405893,0.542362
LOC100128398,0.501156,0.443269,0.740971,0.828755,0.755439,0.681002
MMP1,0.0586904,0.0290788,0.107804,0.0736644,0.16186,0.136249
CD300LF,0,0,0,0.0262451,0,0
FOXF2,1.14665,1.32782,1.33008,0.968301,1.40013,1.59847
LINC01000,13.1522,15.0903,14.0182,20.7561,19.64,25.1094
WDR5B,1.61077,1.81933,2.1326,2.2615,2.12853,2.07308
FAM160A2,5.06603,4.60793,4.80073,5.9059,5.29483,5.69382
LOC101928273,0,0,0,0,0,0.0440399
CDC37,78.16,63.4089,69.0208,94.5571,89.2246,79.1808
DAG1,52.2287,51.9302,52.8373,35.6449,34.1113,36.889
LOC102724691,0.171831,0,0.0841237,0,0,0.0788207
PHACTR1,0.0765063,0.196877,0.135688,0.26596,0.262593,0.230221
C2orf78,0,0.0144543,0.0401441,0.0620729,0.0608014,0.0390639
UBE3B,8.49853,8.45919,7.99153,8.05801,8.45166,7.28699
ADAL,6.69821,5.72449,6.58586,6.48225,7.92512,7.69875
MLNR,0,0,0.048044,0,0,0
MOV10,13.7699,13.1066,13.4873,42.0625,42.0748,41.2833
IVNS1ABP,31.4248,29.3994,30.0953,36.5207,39.8814,37.5261
C1QTNF2,1.39647,1.28715,1.26081,1.05765,1.05655,1.30338
MGEA5,47.9133,46.2715,49.226,50.7097,54.4281,52.677
LOC101927274,0.0261455,0,0,0,0,0
C12orf56,0,0,0,0,0.0227852,0
PRPF3,23.1381,22.0837,22.5998,26.5458,26.1646,25.5574
H3F3AP4,44.5631,41.7433,43.3959,41.0567,43.1962,50.4757
PBXIP1,12.5173,11.7901,12.1599,14.4723,14.6785,16.4372
WASF1,13.4162,11.7599,13.0594,14.603,14.6594,14.139
EIF2S3,54.6934,55.0412,56.9258,52.3197,53.4944,54.8517
KRT25,0,0,0,0,0,0
REC114,0,0,0,0.0468742,0.0962856,0
LOC440300,2.53548,2.45224,2.68637,3.00097,3.24501,3.88607
CD40,0,0,0,0,0,0
AR,8.1396,8.8734,7.95048,3.54025,3.59144,3.95779
HMOX1,5.92242,5.67422,4.91141,9.61158,9.98942,8.94057
C12orf79,0.257583,0.473242,0.295077,0.731509,0.82031,0.592705
HGF,0,0,0,0,0,0
PNPLA5,0,0,0,0,0,0
KALRN,0.166151,0.14301,0.0806865,0.177503,0.12306,0.142484
UGT2B7,0,0,0,0,0,0
LINC00106,0.40785,0,0.574239,0.953285,1.02494,1.08517
RALGPS1,1.69612,1.77609,1.50839,1.55275,1.43106,1.47763
THBD,0,0.0123581,0,0,0,0
GTF3C6,61.1585,49.1869,57.6219,52.7398,62.158,55.8338
EEF1DP3,0.297112,0,0.0907517,0.280972,0,0
GAS2L1,9.49515,9.05201,8.56688,7.46159,7.43752,7.93074
TAAR2,0,0,0,0,0,0.0869748
RBP4,0.0438801,0.166334,0.159416,0.183657,0.0970889,0.155581
ZNF223,1.80414,1.91391,1.98355,3.07838,3.5185,2.92549
SMARCA5-AS1,13.8945,14.9906,15.1945,12.9018,13.6715,14.1094
LOC101928103,0.82505,0.939923,0.878658,0.894491,0.63006,1.05396
PRKRA,18.2161,16.4809,17.606,19.8895,20.487,20.175
STXBP1,8.09512,7.30213,8.18762,7.00508,7.29335,7.30073
MBNL3,4.64895,5.4997,5.34468,1.79819,1.992,2.08529
CHSY3,1.50769,1.79402,1.60507,2.2543,1.78545,2.28246
DKFZP434K028,0,0.0374032,0,0,0,0
SHBG,0.0332166,0.137641,0.0391633,0.121632,0.135002,0.313896
CCDC18,8.3669,7.80716,9.19203,7.04585,7.64027,8.26769
DHX32,14.8887,13.9351,14.0848,19.3286,19.7278,18.4856
ZNF182,2.2703,2.15744,2.25587,3.2695,3.4885,3.75547
FAM122A,4.96984,5.07034,4.56576,5.60747,5.20832,5.42004
ZMIZ2,21.6783,21.5416,21.0603,27.1291,26.94,27.1574
KLHL29,1.17857,1.14268,1.23192,2.13155,1.90529,2.4645
LINC01359,0,0,0,0.0395223,0,0
LINC01449,0,0,0,0,0,0
MRPL28,25.1977,22.357,23.1261,29.0744,30.9647,27.0144
NOBOX,0,0,0,0,0,0
APBA2,15.8132,14.521,15.602,13.8969,14.5775,15.2791
PPP1R26,4.14106,4.28065,3.77908,4.97143,4.65827,4.86128
FNBP4,17.6936,17.5191,16.9003,28.3658,30.0343,30.2771
NCAPH2,14.8434,15.8002,13.488,18.4629,19.0364,20.0593
GPATCH2L,3.70552,4.40734,3.85486,2.91155,2.59382,3.01205
GAGE2A,0,0.103669,0,0,0,0
CCDC42B,0,0,0,0.103523,0.0744095,0.0804366
TMEM106C,82.4774,70.3115,77.0336,64.1612,64.3268,58.1437
LOC101927919,0.162094,0.173198,0.187568,0.228301,0.0979953,0.177865
STEAP3-AS1,1.70908,1.32908,1.67148,0.816612,0.835335,0.761464
LINC01189,0,0,0,0,0,0.126103
SLC31A1,9.22281,9.09591,9.26507,9.53135,9.42627,9.79556
MAPK8IP2,0.101281,0.155493,0.201073,0.422232,0.668844,0.698993
CCDC59,13.7033,12.0061,13.146,16.258,19.7869,17.6244
PALLD,64.8679,64.1024,62.1928,54.1621,55.5602,60.8177
IFNL2,0,0,0,0.135891,0.20673,0.227607
RHCE,0.0845463,0,0.0645408,0.265873,0.10905,0.273247
RNF169,3.80129,4.33059,4.14541,4.10114,4.00832,4.83069
NAPRT,1.62112,1.06792,1.60262,2.79667,1.76617,2.79832
TNFSF12,11.7643,11.5114,11.2001,8.46986,8.93616,9.19105
SLC37A1,1.81263,1.57473,1.76196,1.92438,1.81247,2.27372
COMMD5,11.6672,11.5433,10.3638,13.874,14.6361,15.3303
SLCO2A1,0.206319,0.305238,0.205426,0.281972,0.320391,0.264295
SCLY,5.67786,5.77473,6.45704,4.49085,5.20276,4.49005
MXD3,16.4961,14.8652,14.0806,14.478,15.8174,15.0238
LOC101929516,0,0,0,0,0,0
BTG3,26.4186,26.6593,25.2695,36.0974,40.3961,40.6005
CD44,314.745,300.275,309.603,233.222,238.754,245.729
GTF2H2C_2,12.7672,10.2162,13.0817,13.3936,14.8857,13.4766
SRF,14.7366,13.1682,13.2884,11.036,11.2207,10.8993
EPOR,2.48425,2.59619,3.09529,3.76211,3.91421,3.9063
LTK,0.0695438,0,0.0144791,0.161079,0.13371,0.127
LINC00551,0,0.0255945,0,0,0.0237271,0.0244517
LRRC46,0.215636,0.13467,0.26719,0.373946,0.380378,0.668436
IL7R,24.9018,24.333,25.4062,14.2629,13.8452,14.6423
CAMP,0,0,0,0,0,0
PPP1R37,8.08505,8.19338,7.42102,11.2605,13.3341,13.0053
DDX50,21.194,20.4485,21.4161,21.5923,24.843,23.0773
EVA1C,2.96596,2.59707,2.61482,2.40246,3.21271,2.8114
CSGALNACT2,15.7392,14.6672,16.49,16.8363,19.2449,20.5135
OGFR-AS1,0.247831,0.2124,0.229994,0.147862,0.315509,0.390047
NLRP14,0,0,0,0,0.0148408,0
EHD3,1.34463,1.48348,1.31247,1.53748,1.36539,1.58777
WDR86-AS1,0,0,0,0,0,0
TNRC6C,2.79999,2.80064,2.94808,2.77277,2.83422,3.30216
CD164,107.043,110.061,109.99,149.825,161.406,190.195
SEPT11,39.077,39.7683,43.1153,30.7928,31.0317,33.4233
COX7A2,94.6619,93.7434,91.2457,111.766,112.471,102.197
HIST1H2AC,7.84568,5.16008,7.20628,13.0826,14.7275,13.1046
RARRES1,0,0,0,0,0,0
FDXACB1,0.96823,1.19759,0.772704,0.498171,0.601848,0.470205
IFITM5,0,0,0,0,0,0.0783643
ZBTB7C,0,0.017822,0.00844818,0.0482171,0.00991598,0.0216552
RAB24,13.2848,11.7249,12.0611,19.8973,20.401,17.8499
SF3B4,55.3443,53.1394,54.0481,64.1867,63.7918,58.8266
PTPRO,0.0665178,0.0872372,0.122412,0.178567,0.159666,0.0597101
FAM132A,0.163115,0.0996623,0,0.0602876,0.133833,0.141038
RAMP2,1.20518,0.542912,0.391255,0.556205,0.59014,0.583242
BATF2,0.149348,0.118999,0.154421,4.21424,3.77794,4.23409
TRIO,28.5087,31.3728,30.1925,27.0936,24.9725,27.7873
BMPR1A,17.2934,16.4953,18.6396,17.3943,18.6429,19.4856
CT47A9,0,0,0.00279685,0.00336412,0,0
WSB1,39.3608,40.1217,42.6374,74.0087,75.1994,77.9644
FSIP1,0.592685,0.433446,0.679917,0.744217,1.04898,1.08509
LINC01011,0.734798,0.308411,0.552556,0.730706,0.743037,0.68726
MFN2,43.4705,41.5226,41.5194,38.6972,36.6129,36.7035
LOC100507389,0,0,0,0,0,0
LOC100129034,15.871,16.7676,15.3396,9.76627,8.93143,10.4306
TARS,91.2868,91.066,93.4047,112.289,118.402,114.879
NLRC3,0.0616051,0.0334775,0.0701497,0.100223,0.118665,0.0886834
IKBKE,2.01021,1.84157,1.86391,2.07624,2.97693,2.38473
YBX3,54.4036,49.7078,46.8209,52.3838,52.5706,55.3273
SETD9,3.03769,2.96103,2.51439,3.04783,2.90183,2.7468
ZNF157,0.049402,0.151877,0.0491877,0.0218664,0.147695,0.134306
ANKS4B,0,0,0,0.01663,0,0.0175494
OR52I1,0,0,0,0,0,0.148692
CNNM1,0,0.0144754,0.00675715,0,0.00715305,0.0154603
C19orf47,8.73981,8.04957,8.15189,11.895,11.5172,12.0486
P2RY4,0.0638223,0.0995537,0.120836,0.0323385,0.229951,0.255285
BMF,0.135128,0.237755,0.149315,0.244802,0.146651,0.209139
PTENP1-AS,0.0817386,0.0869298,0,0,0.0872754,0
GCSHP3,3.93018,2.69871,2.87858,1.81125,2.11324,2.5389
LOC100131107,0.024589,0,0,0,0.0514048,0.0576302
DIS3,10.0746,8.98942,9.67446,10.7915,11.6869,11.8094
NDUFA6-AS1,1.67889,1.64031,1.90816,1.92082,1.6425,1.71313
C6orf62,95.6845,97.1498,98.4636,121.464,128.639,129.041
DPY19L1,38.2502,36.8013,39.2743,21.8007,22.2825,23.3304
NPAS4,0.0228887,0.0234911,0.0107147,0,0.0124694,0.0277149
NKX2-1-AS1,0.075056,0.0807551,0.0490756,0.0256772,0.203892,0.0282109
SLC25A6,71.5936,62.8355,65.1746,62.1114,62.4306,59.1653
CERS3-AS1,0,0,0,0,0,0
TRIM26,15.2904,15.1473,14.6063,33.6577,33.33,32.9274
POLE2,7.84371,5.80999,7.04267,5.28424,6.8632,6.84943
ZKSCAN5,8.66169,7.95736,7.95205,9.62295,10.0151,10.1726
KDELR2,212.195,205.613,219.262,178.691,182.545,181.063
RBSN,7.2863,8.20112,8.3769,6.84757,6.90013,7.95477
LOC93622,10.8142,7.4924,8.92322,15.7641,17.7067,17.5788
ZNF286A,4.19175,4.59738,4.75295,4.09217,4.18912,4.42261
STAG3,0.0519703,0.079256,0.0438687,0.233631,0.106193,0.155437
XKR3,0.241951,0,0.0975458,0.210446,0.297374,0.163629
LINC00889,0.197945,0.151828,0.270822,0.0902762,0.0448334,0.0226167
MFSD7,0.223329,0.185079,0.115408,0.264374,0.346019,0.241466
VCPIP1,5.02562,5.17324,5.13987,5.78337,5.70001,6.49505
MXD4,4.89821,5.192,4.75063,4.86798,4.54718,4.53173
NR4A1,1.267,1.41159,1.37487,2.25292,2.00845,2.82258
HIST1H2BJ,1.45098,1.96142,1.90325,2.3999,2.6356,2.84867
ANKRD18A,0,0,0.0141239,0.0275219,0.0101345,0
CNTRL,3.2846,3.42155,3.29235,2.41967,2.24816,2.42907
PISD,9.55999,10.1703,9.615,13.3314,12.7398,12.7733
LOC643072,0.804935,0.707903,0.972922,1.08854,0.819585,0.829624
MYO1H,0.0116435,0.0228648,0.0225229,0.0216882,0.098649,0.0780788
TCEAL8,35.2167,32.6399,34.2837,43.6652,45.7108,49.2599
LINC01355,2.66033,2.69498,2.66703,1.85002,2.28685,1.76698
LINC00562,0.115592,0.152461,0.115944,0.155608,0.154178,0.132205
LEPROT,16.1328,16.3397,16.9573,15.2604,15.7585,16.647
LY6G5B,9.99836,9.32498,10.1294,13.8332,12.279,12.1725
PSMG3,24.767,24.656,19.8347,25.2117,22.1096,28.9789
LOC101927575,0,0,0,0,0,0
ZNF431,3.66562,3.4677,4.11665,4.23949,5.33987,6.30449
POM121L10P,0.0136081,0.0206919,0.0250439,0.0266233,0.0230612,0.0484151
CCDC184,0.279204,0.44605,0.569086,1.01257,0.964728,1.12385
SMTNL2,0,0,0,0,0,0
TMEM151A,0.0173172,0,0.0623943,0.268417,0.098624,0.090682
S100A3,2.24294,3.24037,1.04077,2.75977,2.32446,1.90186
HNRNPUL1,98.3071,99.2629,96.4461,82.7999,79.7816,88.0164
KCNMA1,9.43539,7.66376,8.50853,6.00851,5.14855,4.60503
MPDZ,11.7575,12.6953,12.9162,7.38378,7.21647,7.54427
TRIM16,15.7702,15.4834,14.6399,15.787,15.4723,15.6471
FLJ44635,0,0,0,0,0,0
ADAMTS20,0.010698,0.0104635,0,0,0,0
NANOS1,0.891621,0.907268,0.867,0.667141,0.799359,0.544144
LINC01204,0,0.209228,0.0866619,0.0978148,0.0725737,0.0484745
LINC00678,0,0.130206,0.0453366,0.237002,0,0.156965
ABCG2,0.213397,0.285549,0.0598292,0.177713,0.12647,0.132212
AGK,16.4494,14.0922,15.6166,16.3931,17.2315,17.3207
SPAST,7.96591,7.87288,8.495,5.54537,5.94762,6.27753
ORAI1,10.6473,9.39511,9.5362,11.6034,11.2692,12.2566
1-Mar,4.69735,4.53429,4.27674,4.27102,5.07331,5.3149
LOC101927730,0,0,0,0,0,0
IRS1,16.0391,16.6492,16.0523,18.6823,17.6269,19.4147
LOC101929234,0.157366,0,0.112195,0.195496,0.0391707,0.0849075
PYROXD2,4.08628,3.58102,3.30594,3.48355,2.83986,2.91537
KLB,0.0628333,0.11665,0.0609383,0.0831762,0.133877,0.0939504
USP12,16.0308,14.6652,15.3989,10.6738,12.0854,12.5531
CTNND2,10.4359,11.1433,10.4128,9.68084,9.87994,10.7222
HNRNPH3,103.646,88.3869,105.985,103.435,100.204,95.1402
LAPTM4B,95.8184,88.3564,96.493,122.578,125.419,120.18
USP50,0.301025,0.227752,0,0.257305,0.315475,0.225803
HSPA1B,41.7211,37.7915,39.1763,53.144,54.3909,51.1526
FFAR4,0.0174186,0,0,0,0,0.0174977
FAM27E2,0.102128,0.0513624,0.0591074,0.127836,0.0640827,0.0090748
SLC10A6,0,0,0,0,0.0429187,0.0446299
FAM193A,8.69287,8.57969,8.6168,9.66459,9.36082,10.6911
THAP9,1.50096,1.47059,1.58393,1.71967,2.72118,2.45598
DHRS4L1,0.198787,0.171482,0.142734,0.287812,0.168066,0.0378971
ACAP3,15.9796,16.1252,15.4595,21.2219,21.1548,21.9463
TMEM161B-AS1,9.52317,7.0934,10.6385,9.22561,9.18623,10.1677
TPRA1,8.32771,8.90083,8.53245,10.2597,10.0177,8.72928
ZNF525,3.26092,3.21198,3.57163,3.3914,3.53478,3.88718
PAFAH1B1,43.9129,43.2436,44.6419,41.7887,40.4183,40.6369
SLIRP,52.9218,37.1487,45.7738,66.2512,66.1834,47.7583
LOC100507412,87.8537,82.6521,89.385,104.626,100.252,105.129
FKBP9,31.7021,30.8161,30.5324,29.5535,28.171,27.789
C14orf37,0.605191,0.498572,0.75365,0.388258,0.433211,0.348593
STARD4,11.9451,11.1243,13.1098,26.4445,27.2487,30.601
ILDR1,0,0,0,0,0.0161177,0
BCLAF1,41.87,41.2346,42.0124,41.4501,44.8859,45.5869
PEA15,149.87,128.573,142.756,126.712,129.229,119.684
SLFN13,0.885942,1.03921,0.964731,0.912517,0.925683,0.878966
SDHAF1,7.48901,7.76504,6.3636,12.7321,11.8757,13.4914
PRELID2,2.02122,1.81143,1.8953,3.39543,3.68559,3.41572
CLEC3B,0.187247,0.260853,0.0595138,0.333043,0.346026,0
ETV2,0.516112,0.292361,0.157172,0.223279,0.39564,0.394919
NLRX1,4.03307,4.36444,4.41258,4.73279,6.01414,5.53449
ENTPD8,0.080671,0.101255,0.079361,0.0449318,0.0784749,0
POU2F1,2.42968,2.59262,2.91294,2.66848,2.62528,3.3438
SNHG7,18.5728,16.8105,16.4394,29.3617,29.6481,31.11
IL2RB,0,0.027799,0.00837391,0.0383069,0.00973619,0.0331834
UBQLN1,41.286,40.1226,41.0612,43.0296,47.4998,44.3276
LECT2,0,0,0,0,0,0
PPP2R5E,16.8571,16.3318,18.1361,13.5433,13.3287,13.6388
HPSE,4.77606,4.78551,4.84584,4.48124,4.48171,4.71345
ZNF281,6.46991,6.52694,6.65427,7.16048,8.07415,8.2621
LOC100288123,0.873177,0.788405,0.690547,1.02976,0.974224,1.12199
VAMP7,50.2557,45.0572,52.1716,43.4978,49.026,48.5626
FAS,5.01612,3.88069,4.67202,9.06727,9.47941,10.0067
SNX5,30.9794,29.569,30.3246,31.8296,33.5061,32.665
SPDYE5,1.12235,1.17269,0.903198,1.24067,1.10233,2.71081
LINC00637,0.0210816,0,0,0.0405765,0,0
CNGB3,0.012981,0,0,0.0233823,0,0
RBAK-RBAKDN,0.192465,0.119773,0.256031,0.152666,0,0.272109
TPH2,0,0,0.0235925,0,0,0
OR2C1,0,0,0,0,0,0
SSX1,0,0,0,0,0,0
LENG8,35.546,37.0363,34.8521,48.5364,48.0913,52.2154
FGD5P1,0.0223636,0,0,0,0.0119984,0.0256475
ADD3,14.4351,15.5735,15.7134,12.3973,14.7161,16.5077
OSMR-AS1,0,0.0722437,0.230775,0.145123,0.30082,0
PDXP,14.86,11.8414,13.021,20.0441,22.8878,23.0147
ZBTB9,6.4021,5.81862,5.20678,6.41235,6.20807,7.89178
TRIM38,3.3795,3.52776,3.42939,10.0272,10.429,10.4288
COL19A1,0.0191026,0.023908,0.0546553,0.0185212,0.0377564,0.0564724
ABRA,0,0,0,0,0,0.0369819
C17orf78,0,0.0499549,0,0,0.0208348,0.0651798
SLC25A14,9.69909,7.98984,9.30873,10.8247,10.401,9.88807
ZNF692,6.87264,6.9097,7.56161,8.07591,8.71321,9.68437
FAM118B,6.40271,6.63106,6.40522,5.97213,5.33521,6.64726
APPL2,6.20322,6.29171,6.85954,4.70355,4.68833,6.23031
SLC37A4,15.8921,14.4882,14.8521,17.302,17.7442,16.2682
RHOXF1-AS1,0.0693203,0.095943,0.0990149,0.263028,0.22731,0.1834
FAM150B,0,0,0,0.100872,0.0346397,0
C8orf46,0.393261,0.430296,0.188838,1.63509,1.71192,1.84169
RRP8,3.62466,4.0924,4.43198,5.9985,4.93673,5.42025
PARVB,0,0,0,0.0264726,0,0
PEG10,141.738,146.534,145.431,85.1906,82.9664,94.9203
ARHGAP31,2.47725,2.68837,2.47985,1.78797,1.94113,1.72916
C2orf27A,1.44949,1.45738,1.23659,2.89068,2.89059,2.78784
ITPR2,1.71959,1.5753,1.87454,0.980851,1.06276,1.05035
LOC101929574,0,0.0821186,0,0,0,0.0911548
MYLK,13.7957,13.8426,12.742,8.37049,8.66846,10.0495
FAM21C,9.42463,8.48491,9.2221,10.2409,10.1233,10.7529
SOST,1.70114,1.60521,1.50542,6.31143,7.06365,7.22792
PRADC1,9.12582,9.3526,8.16387,7.6351,7.70946,7.60803
SLC18B1,11.3608,9.39572,11.7104,15.7914,16.6778,16.466
LOC101926943,0.0740714,0,0,0,0,0.0241701
ADPRHL1,0.241688,0.182732,0.303993,0.58519,0.328758,0.495455
LINC00311,0.0293916,0,0.0281355,0,0,0
PDE9A,4.68728,4.68475,5.44353,5.54868,5.33792,5.04596
POU3F2,38.4103,34.985,35.9945,35.4763,38.5356,44.2974
MGRN1,13.8155,13.1549,12.0365,15.3343,15.6564,17.1867
HOXB7,16.0577,15.6209,13.1861,17.2765,17.4233,19.81
FOXD1,0,0,0,0,0,0
MACROD1,9.23328,9.35747,8.1556,18.1853,18.8103,17.8944
QRICH1,29.1866,27.0313,28.5656,31.549,31.8041,32.2834
ELAVL1,32.8715,33.2357,32.478,28.551,28.8413,28.8984
COG3,7.27712,6.65768,7.01116,9.28052,9.35766,10.0098
ITGB1BP2,0.281389,0.338925,0.382581,0.415383,0.104152,0.45966
TCAP,0.370641,0.151707,0.293312,0.391245,0.237383,0.317102
WNT2B,0.464486,0.449948,0.521847,0.419561,0.279617,0.35417
SNAPIN,28.119,26.8308,24.5429,30.5366,29.1206,30.1516
DNAH17,0.0664107,0.0459466,0.0391218,0.146132,0.181062,0.169379
POMT2,4.29097,4.12172,4.21978,3.8046,3.58951,3.97924
CLEC12B,0.022728,0.0232018,0,0.0393427,0,0
RFC1,27.2008,26.6795,27.8925,29.1171,30.5192,31.0917
SIGLEC1,0,0.00595824,0.0054797,0,0.019721,0.00740432
CP,0.2365,0.205332,0.242263,0.295558,0.280484,0.199765
RSBN1L,12.0498,12.9304,11.0004,11.7403,13.3639,13.6177
SLC16A10,0.662508,0.722776,0.630956,0.525961,0.397877,0.456046
DSP,2.18713,2.20761,2.05956,4.21402,4.00536,4.57268
DIAPH2,3.35025,3.36684,3.01398,2.19325,2.27073,2.48141
AKAP11,10.6058,11.8256,11.5193,8.08365,7.87677,9.42614
FAM138C,0,0,0,0.0215348,0,0.00974632
ZIM2-AS1,0.0994494,0,0,0.0785505,0.119607,0.0959126
NTF4,0.19488,0.383511,0.239267,0,0,0.080593
GPR39,5.64486,5.43771,5.40862,6.5045,5.87219,6.16527
FAM193B,8.5326,8.9518,8.45297,13.6487,12.5344,14.2291
KIF25,0,0,0,0,0.0411708,0.0440093
WNT8A,0,0,0,0.0732108,0.0374593,0
TRPC3,0.988064,0.650011,0.806178,0.69082,0.921068,0.809887
CCNT2,8.29535,8.15908,8.30894,9.76356,10.4866,10.1881
NPRL2,8.76885,7.77638,8.12853,10.4691,10.3999,10.7165
C1orf50,3.95279,3.42049,4.96731,4.79395,5.12209,5.52734
FAM71E1,0.408764,0.284188,0.313382,0.918294,0.758841,0.73467
ADAT1,5.879,6.52191,6.65637,5.25776,4.80952,6.00234
RSRC1,15.5531,15.8348,15.4177,14.8412,13.4186,14.8409
AP1B1P1,0,0,0,0,0.0528078,0.0566135
ERV3-1,2.41509,2.72307,2.49065,1.86936,1.68276,2.1451
PLIN3,44.029,42.7844,40.0405,39.2384,39.7337,38.9989
MOB4,24.302,23.4473,25.9006,25.2659,25.3461,25.0289
LOC101928436,0,0.274093,0.13514,0.121163,0,0.248586
BMPR2,10.8626,11.7737,11.1233,7.27573,7.10552,8.63679
MAGEA2,0.332091,0.348453,0.223638,0.737113,0.559959,0.607079
CIB3,0,0,0,0.200057,0,0
ACTN2,0.0853581,0.0785383,0.13769,1.66891,1.62807,1.30619
CDKL3,0.878668,1.0007,0.443428,1.69178,1.48747,1.47615
LOC645382,0,0,0,0.0170016,0,0
CA5B,0.541091,0.719292,0.781698,0.788905,0.633516,0.663743
RANGAP1,58.0837,54.2431,54.2781,56.6285,56.9391,54.2799
ADIPOQ-AS1,0,0,0,0,0,0
PLIN5,0.0187743,0.0180002,0.0679212,0.0822246,0.0219427,0.0716858
LANCL2,6.27193,6.41504,6.11172,5.3825,5.85912,5.12391
