GeneName,HRP1,HRP2,HRP3,HRZV1,HRZV2,HRZV3
AGK,10.1884,9.92722,10.0605,10.9934,11.7584,10.835
CHMP7,12.9416,13.1108,12.7255,13.7077,12.9693,12.9075
TRMT61B,7.10115,6.87266,7.09459,5.93332,5.42144,5.8079
C15orf39,4.80367,3.47176,4.62946,6.1735,6.83562,6.68394
USP17L1,0.0343567,0,0,0,0.00798694,0.00930889
RHOQ,38.1341,33.6226,39.3902,32.0434,29.1698,29.4899
NTMT1,8.75551,10.6979,9.72104,7.93563,11.9188,9.5267
COBL,0.182598,0.095397,0.090885,0.13205,0.179219,0.0859475
TIMM23,28.697,35.92,33.2611,37.0026,37.4828,36.6972
PAFAH1B2,37.918,39.1355,40.7725,39.8166,38.2685,40.7015
PSMD2,56.7117,72.869,59.6133,53.1622,51.6373,54.49
ZPLD1,0.164178,0.335987,0.117122,0.0296327,0.0133903,0.0162765
C2orf72,0.0495579,0.0479646,0.0447061,0.0320761,0.0406221,0.015503
ALG2,17.8127,18.6432,17.7601,23.6203,24.2523,24.07
LOC653712,0.0821163,0.137698,0.0734214,0.398648,0.113269,0.200634
NPY4R,0.268232,0.207592,0.0610671,0.014531,0.227648,0.0187336
APOL4,0.823132,0.396027,0.395325,0.481259,0.397501,0.346738
ATP1B4,0.0117278,0,0,0,0,0.0114817
AK7,0.412443,0.803639,0.448955,0.548309,0.367806,0.524098
ABCB11,0.0117702,0,0,0.0107196,0.0095101,0
IFIT2,6.45345,4.23156,6.30025,38.1032,30.1509,34.5481
ACP2,17.2499,16.0185,15.9857,26.7487,26.6724,28.3488
AP2A2,22.7404,22.9729,23.6029,25.7897,25.7365,25.1019
TMEM9,21.4472,20.11,22.1677,21.7689,21.2745,22.2649
F3,48.7039,64.565,53.4365,34.6842,87.0855,41.4224
SMAD9,2.04886,1.68319,1.90106,1.03219,0.758139,0.652528
ADI1,28.8085,28.9135,29.1392,15.5102,16.626,14.9431
WARS,171.507,119.343,157.119,618.07,507.662,599.06
CYP4A11,0.0369146,0,0,0.0172588,0.0149601,0
LGR5,0.207484,0.0910898,0.144685,0.0120658,0.0538828,0.0590326
UPF1,17.8911,18.6083,18.6216,18.4276,19.2796,18.281
FBXW10,0.0424598,0.0128662,0.00421479,0.0215682,0.043865,0.0524736
ZNF561,6.57389,5.1409,5.44389,6.12087,5.26342,5.85214
LINC00319,0.260301,0.35992,0.369193,0.227887,0.284332,0.341122
PPP3R1,25.3181,24.7597,25.3774,29.8588,28.9916,30.6017
NHLRC2,6.59599,5.4899,5.98104,9.062,7.6034,7.93279
CLDN10-AS1,0,0,0.0588619,0,0,0
FER,5.40816,4.65552,5.0761,6.17798,5.94794,5.63434
SLC41A3,16.5385,15.5198,15.8867,14.1963,14.1683,15.2668
RNASE10,0,0,0,0,0,0
RLF,4.13022,4.62782,3.86824,4.89929,4.30561,4.79769
EMCN,0.0714485,0,0.102003,0.0636358,0.0120509,0.0427378
HOXC-AS1,0.480297,0.583036,0.435692,0.344278,0.685413,0.111265
NRSN1,0.0434223,0.0629226,0.0386934,0.0200297,0.0524833,0.0206583
PCDHGA9,2.96376,2.11968,2.86112,1.82334,1.68952,1.76001
MAGT1,21.9068,25.2603,23.2691,26.9883,23.5428,26.0223
WDR38,0,0,0,0,0,0
HCG11,5.37904,4.10805,5.39386,6.53035,5.23737,5.69195
ADH1C,0,0,0,0.15313,0.0267318,0
IFNAR2,10.4567,12.8725,12.224,9.02078,9.00903,8.04836
ZNF706,13.8606,14.7044,13.7903,19.057,19.3081,22.656
LONP2,11.4228,11.4937,11.6786,9.53446,7.91356,8.18624
PCDHGA12,3.7582,4.01277,4.06979,5.38117,4.83987,4.35323
TMEM44-AS1,0.418435,0.133007,0.28737,0.456517,0.431598,0.38771
TRMT2B,3.32468,2.78799,2.95738,2.72354,2.28105,2.28342
BEX2,11.0533,8.13738,10.8602,23.5756,18.6574,23.4574
BCL11A,1.14715,1.71452,1.29918,0.993974,0.998427,0.934722
CEP78,4.97507,5.30266,5.58151,3.59826,3.60224,3.07164
BABAM1,32.5941,34.137,31.6803,26.8436,28.7262,29.4818
ZNRD1-AS1,0.490432,0.243495,0.265864,0.317337,0.462897,0.65002
GTF2A2,14.397,18.0119,14.5702,16.9678,18.8066,16.6725
FAM103A1,13.0161,13.4482,13.2787,12.8127,12.6688,14.1416
MSX2P1,0.0417814,0,0,0,0,0
PLGLB2,0.539651,1.33634,1.68947,2.42773,1.43692,2.3069
SLC9A4,3.58086,0.557458,0.742618,0.742705,0.732057,0.935961
INPP5B,7.04115,5.33194,7.05215,8.15624,7.76199,9.20918
GRIA3,0.676916,0.7995,0.813223,0.782204,0.936255,0.871225
RUNX3,0.0402888,0,0.00819474,0.0392704,0.0073753,0.0324114
GALK1,12.6333,11.7182,11.171,5.15768,6.1415,5.70003
RCAN3,6.89758,5.25169,5.81812,7.18328,7.03951,7.94287
EPN2-IT1,0.078454,0,0.0698487,0.148085,0.0639392,0.151637
AARD,0.378433,0.156886,0.342585,0.581922,0.376855,0.362429
FCRLB,1.43662,1.89861,1.41746,3.69963,4.17527,4.28754
DVL1,16.8354,17.9319,18.5172,22.5395,26.7924,25.5644
APELA,0.0497961,0.0244215,0.0665386,0,0,0
LINC00506,152.161,40.7195,49.4959,65.595,46.9388,53.2033
ZNF568,1.76081,1.40048,1.79714,2.40639,1.92204,2.22905
VOPP1,25.0792,28.903,26.8367,15.3624,14.3151,16.005
LOC729080,0,0,0,0,0,0
SGTB,5.36131,4.88623,5.56307,15.9663,15.3856,14.733
CXCL16,2.16805,1.88808,1.90394,5.08295,5.34558,4.63235
LINC00261,0.0688829,0,0,0,0,0
LINC00239,0,0,0,0,0.204323,0
SPCS1,49.5923,49.295,53.2637,53.5737,55.9408,57.3982
METTL14,7.99695,7.46644,8.58257,9.15775,7.72913,8.07693
DDRGK1,20.4952,20.3859,21.1827,19.0433,19.4664,20.0148
GUK1,73.2361,81.4492,82.1349,103.396,101.538,106.885
TEN1,10.141,7.50869,8.74334,6.01626,7.64581,5.99115
ENOX1-AS2,0.0934213,0,0,0,0,0
HIST1H4L,0,0,0,0,0,0
GMFG,0.0775632,0,0,0,0,0
CBARP,2.24543,2.01633,2.55196,2.48049,3.31289,2.90491
TOLLIP,13.9419,12.2114,13.3496,15.098,17.1672,16.1886
LOC440028,0.626854,0.77056,0.760234,0.346957,0.701425,0.462455
PRCC,17.8137,17.0773,19.2679,17.382,20.761,18.3527
LOC101927166,0.081236,0,0,0,0,0
CEACAM8,0,0.0344525,0.0164626,0,0.0146083,0.0167617
IFNA4,0.0542497,0,0,0,0,0
EPB41L5,11.2025,9.71199,9.76698,12.3938,8.94666,11.2641
NNT-AS1,3.3032,2.50913,3.02603,4.44042,4.07534,3.94836
OTUD5,24.019,26.0787,26.7015,23.1846,22.4897,23.1797
LINC01341,0.342352,0.227913,0.438011,0.492722,0.439076,0.36046
LPXN,2.17304,1.31601,1.79454,3.34809,3.63803,3.49395
HSD17B6,0.402125,0.139771,0.389798,0.13626,0.147748,0.278552
CNTF,0.560303,0.542931,0.321427,0.308383,0.8745,0.770539
LINC00894,2.59354,2.02775,2.6531,2.11532,1.56024,1.7489
SLC28A1,0.131325,0.0253568,0.0205397,0,0.0860412,0
ZNF217,13.2961,10.4196,12.1513,19.336,17.0063,17.2636
WDR25,3.76761,2.61679,4.14006,3.67384,4.37594,4.36658
CYB5D1,4.7884,3.77064,4.51976,5.28711,4.35723,4.76144
HSD3BP4,0.0708671,0.0576985,0.048413,0.129262,0.0530189,0.136432
MAPKAPK5-AS1,3.37761,3.27082,3.08834,3.55151,3.07465,2.75219
ST3GAL6,2.85479,2.51297,2.86679,1.28893,1.33367,1.27109
ZXDB,2.62098,2.55827,2.72836,3.8715,3.48093,4.34161
C16orf72,17.426,14.9121,17.6847,18.9372,20.3745,19.7434
LOC101928191,0,0,0,0,0,0
RALB,24.8755,29.1436,27.3515,37.334,31.6901,37.3393
FNTB,7.24745,7.45438,8.1951,4.89736,4.1655,4.6236
LOC339666,0.110668,0.105837,0.024756,0.0512329,0.0669812,0.0780476
MUC6,0.027716,0.00570032,0.00547699,0,0.00245651,0
FAM135B,0.0491786,0,0,0,0,0.00670252
KPRP,0.0161953,0,0,0,0,0
FYCO1,7.9709,7.64288,7.3672,7.57732,6.68168,6.73834
LINC01057,3.14785,2.16284,2.00706,1.15685,1.78185,1.19989
CDK13,11.1892,9.91783,10.1826,12.2101,11.4423,11.9894
INF2,30.6408,31.3675,34.0642,25.6741,29.9533,27.2115
TRMT10B,2.89935,3.07626,2.21233,3.18124,2.92851,3.29583
GLP1R,0,0.0137568,0,0,0,0
KIAA1671,1.40024,1.48046,1.51636,2.08669,1.87098,1.90424
UBE4A,16.7326,13.5061,16.1916,18.7332,15.0137,16.6407
WDR92,5.49216,4.35583,4.84392,5.59631,4.43533,5.73786
QSER1,8.1506,8.65552,7.9409,10.083,9.0568,9.66743
ONECUT1,0,0,0,0,0,0
ZNF704,0.648814,0.37704,0.465862,0.25051,0.206966,0.218026
RPS8,715.206,727.242,735.901,696.342,673.641,753.422
RDH13,3.49974,3.53931,4.16573,2.52894,2.32662,2.35945
MCHR2,0.108912,0,0,0,0,0.0268584
SUCLG1,24.3053,29.1998,28.1263,21.9443,23.7436,21.1444
C2orf66,0.648436,0.158614,0.455428,0.989568,0.617931,0.649743
CSTF3-AS1,0.133522,0,0,0.0323496,0,0
SETMAR,4.90577,5.17964,4.50428,4.9518,4.96126,4.58362
GPR61,0.0618489,0.0197735,0,0,0.016824,0
NDFIP1,31.7159,28.5053,31.6995,38.4936,34.5548,40.0164
C7orf13,3.23689,3.48849,3.61574,5.9456,6.10831,5.04989
LOC102724919,0.262305,0.130573,0,0,0,0
UBE2L3,34.8379,40.1066,36.0267,34.3242,33.3342,33.2153
DDX23,18.6343,19.9719,18.8762,15.358,13.6448,16.2918
LINC00293,0.0396053,0,0,0,0,0
PTOV1-AS2,2.39499,1.81156,2.18059,1.85405,2.86123,2.21787
LOC101928333,0.0422504,0,0,0,0,0
PABPN1,15.99,15.8201,16.8398,10.169,11.2479,11.5203
P2RY8,0.044105,0,0,0.0107017,0,0
ZNF267,2.69657,3.24807,2.45426,3.57864,3.75757,3.05117
ASTL,0,0,0,0.0416087,0,0.0390972
FKBP1AP1,0.211582,0.0338264,0.249893,0.165415,0.0856957,0.173152
PRX,1.01203,0.824136,1.06743,0.858756,1.03402,0.767691
ADAMTS3,3.14324,3.54798,2.76877,2.89501,2.35031,2.24331
DAPK3,31.9902,32.8154,36.4123,9.55416,11.9017,7.83087
ADAMTS2,2.39613,2.53692,2.49511,0.949111,0.858743,0.857728
DSG3,0.190878,0.0441107,0.0475568,0.129744,0.0172581,0.0351532
HKDC1,5.27312,4.52784,4.66642,34.427,28.6337,35.4443
OR10Z1,0,0,0,0,0,0.0672444
ALDH3A1,0.0261641,0,0,0.0253331,0.0205915,0
LIPE,0.695846,0.739341,0.406735,0.285032,0.411955,0.45526
NWD1,0.0263272,0,0.0317436,0,0,0
RPL23AP53,7.68867,5.99014,6.80227,6.508,6.22338,5.93088
FMR1,11.811,9.93824,11.3569,18.5662,16.3493,16.4527
NDNF,0.152307,0.049089,0.0609657,0.0760944,0.0690042,0.048412
CSF2,0.0541623,0,0.0501748,0.161851,0.62069,0.261387
RNASEK-C17orf49,11.5358,6.9226,7.909,5.81283,8.21979,6.12527
GUCD1,18.15,17.5363,17.5161,15.8505,17.2036,15.954
URB1-AS1,4.11328,3.0211,4.27127,2.95317,4.08258,4.83803
KCNA6,0.0737203,0.0268408,0.0166206,0.0360353,0.0151344,0.017419
LOC102723828,0,0,0,0,0.0657622,0
NLRX1,5.71271,4.44529,6.54457,6.16018,6.07593,6.24268
ZNF597,1.27309,1.2805,1.28002,1.69029,1.9692,1.90173
TVP23B,26.3129,29.7489,25.2097,35.6253,31.5988,32.6563
DENND2D,2.74458,2.2289,2.94905,5.10635,4.70152,5.15341
MRPS30,12.4442,11.4719,12.5476,17.3387,16.254,17.5619
DUXA,0.0455558,0,0,0,0,0
CNPPD1,15.2968,15.3834,16.3321,17.2554,20.3304,19.4767
HGD,0.0583576,0.0559969,0.182052,0.347597,0.259397,0.224522
CDK16,26.2447,28.1172,27.659,27.6215,27.9499,29.4583
ARL2,37.9062,34.9792,39.282,32.4734,33.3509,32.6296
LCMT2,3.16518,2.57471,2.76791,2.94872,3.04627,3.04242
ARMC1,19.2678,19.6432,19.8696,16.8053,16.8478,16.2145
ZFAND4,2.13477,2.18013,1.86907,2.88036,2.30958,2.81933
UBASH3A,0,0,0,0,0.014552,0
MKRN9P,0.0825671,0,0,0.0252019,0,0.0260134
CLDND1,39.6938,43.2703,43.789,43.5411,40.519,44.8697
MDM2,21.5482,21.699,20.6691,33.7352,26.0241,32.2034
FAM71E2,0,0.0343279,0.0109403,0.0116201,0,0.0108651
ATRN,20.3787,20.5388,19.4899,16.2553,14.2542,15.2957
ULK4P3,0.460941,0.251378,0.489958,0.43064,0.526606,0.160513
ARHGAP31,8.92316,8.63502,8.91826,6.40719,6.98815,5.21241
PIF1,1.67741,2.23632,2.01932,1.10732,0.953181,1.40861
RCOR1,7.18741,7.33595,6.79048,10.6274,9.53211,10.2997
GACAT2,0.521602,0.166689,0.419427,0.0580045,0.0479073,0.106886
C2CD2L,2.38203,2.61891,2.34493,2.36467,2.43873,2.66558
PTPN5,0.0851505,0,0.013356,0,0.0119673,0
GRHL2,0.0358993,0,0.0081253,0,0.0220722,0
SYS1,11.3867,10.5874,11.6567,10.5172,10.5925,9.24807
ELK2AP,0.130879,0,0,0,0,0
MKRN2,17.6009,15.8028,17.7164,16.5407,16.6461,15.7961
RAB18,26.0012,24.5278,24.4953,25.7322,23.3132,21.1411
C3orf58,4.15667,5.39741,4.46222,6.75349,4.09123,5.39727
LVCAT5,0.0377166,0,0,0,0,0
LRRC58,10.4897,9.52845,9.82368,15.1698,11.8323,12.4472
ARPC4,61.6164,74.1031,67.5333,45.5446,52.9249,48.0487
RABEP2,6.83812,6.47643,6.4283,4.83155,5.42258,5.35689
BACE1-AS,2.24336,1.85756,1.70814,1.48007,1.02662,1.66255
TEX264,13.2891,12.4184,13.0362,14.1476,14.0116,15.8493
RPL13AP17,0.0271294,0,0,0,0,0
LOC100505736,0.0831068,0.0398708,0.0368965,0,0,0.020268
AP1G2,16.9687,16.6885,17.5803,17.2219,18.5443,18.3566
EVA1C,0.692777,1.15829,0.789292,1.95853,1.6248,1.93566
CDC34,18.8649,18.5118,19.1891,21.4413,27.2483,27.0923
RPARP-AS1,2.20201,1.72412,1.83507,3.60093,2.41226,2.28685
JRKL,9.42062,9.32534,9.37089,8.90297,9.27188,8.96341
MAS1L,0,0,0,0,0,0
MSTO1,6.63949,7.81808,7.71259,6.12071,6.64638,6.60793
ATMIN,12.5329,11.4589,11.5676,15.9151,14.9188,17.8013
LOC654841,0.246895,0.119279,0.128974,0.45251,0.168069,0.218875
ZHX2,4.11312,3.823,4.23477,9.26335,9.57596,9.2754
CYSLTR1,0.10928,0,0,0,0,0
POPDC3,4.50896,6.74763,4.91331,8.00102,7.18024,8.72896
ANO4,0.186049,0.0594556,0.0979952,0.0495411,0.0553704,0.0884134
WRAP73,5.88475,6.78211,6.93851,7.30577,7.41891,8.74677
G6PC2,0.11228,0,0.0159584,0,0,0
DNASE1,1.29215,1.28948,1.29323,1.5466,1.52755,1.14771
LOC389834,0.174589,0.0400828,0.0277787,0.062263,0.0152217,0.0364594
TOM1L2,11.3987,12.1317,11.8719,7.89784,8.49214,7.7009
SFRP4,6.74684,2.82898,6.07432,2.07013,2.40129,0.846336
SORL1,1.62033,1.77481,1.67533,1.83743,1.44894,1.51356
LINC01163,0.0547861,0,0,0,0,0
LINC00311,0,0,0,0,0,0
CGB2,0.0112135,0.206453,0.168318,0,0.121441,0.199539
C1orf111,0,0,0,0,0,0
SEC14L1,48.009,47.5192,47.0052,45.6755,51.4389,47.1967
CNOT6,11.245,10.9995,10.9556,10.5565,9.21349,10.2363
HOPX,1.49246,1.58065,2.36504,0.695471,0.796053,0.170256
PTPRD,5.19874,4.16123,5.22978,5.02252,3.35615,3.21626
FAM47E,0.507836,0.161984,0.428376,0.460539,0.169148,0.561876
LINC00494,0.0409184,0,0,0.0124661,0,0
PPWD1,15.2855,14.9625,13.7951,16.8672,14.173,16.4443
RPS3,256.01,272.081,272.399,179.38,188.063,191.063
H1FNT,0.0844835,0,0,0.0424067,0,0
SRGAP2B,11.6258,11.6924,11.4842,15.9655,13.9866,14.6831
ETV6,6.61636,6.71114,7.29669,8.54636,8.17547,8.55105
CRTC3,5.52985,5.85846,5.86773,6.56816,7.00064,6.22258
EAPP,32.0809,24.2298,33.6889,20.9428,20.8901,20.8054
ATP2A1-AS1,0.7211,1.93468,1.43292,0.219062,0.687631,0.480042
PLD2,5.9642,5.86548,6.21959,4.02509,4.38375,4.01802
MORN1,1.3232,1.19957,2.04109,1.5445,1.4385,1.84211
SMC1A,7.20967,8.60115,7.34573,7.14417,5.90865,7.02953
CTSE,0.0179763,0,0,0,0,0
LINC01606,0,0,0,0,0,0
PATZ1,10.6745,8.65341,9.69066,14.2704,13.8681,14.3184
VPS39,20.0834,17.2654,17.7807,19.3748,17.5916,18.549
UPK2,0,0.169162,0,0,0,0
TRA2B,32.026,35.5424,34.2566,34.521,34.7589,30.8494
UBOX5,2.04624,1.9038,2.12531,1.83822,2.23759,2.2205
ALKBH2,6.97931,5.58707,6.66053,9.49431,9.33105,9.17368
SLC45A2,0.215278,0,0.0305054,0,0.0462136,0.0325276
UXT-AS1,0.77169,0.72832,0.60382,0.51479,0.54707,1.04708
CHCHD4,5.20885,4.48178,4.85666,8.28558,9.65621,7.97939
PNMT,0.0533502,0.128559,0.0607473,0.889551,0.575457,0.845386
ZSCAN18,11.0208,8.97247,9.82505,8.42786,9.83047,10.3812
B3GAT2,0.188578,0.209572,0.222884,0.200072,0.0448748,0.0990566
OLFML1,0.0646777,0,0.0144794,0.044047,0.0791609,0
DLEU7-AS1,0.0334843,0.0326877,0,0,0,0
ZNF37A,4.27149,3.76771,3.73156,6.96325,5.33183,5.73539
THPO,0.0780034,0,0.0163323,0.0181621,0.0584062,0.0328491
LINC01604,1.37771,2.64754,1.24146,0.177877,1.13948,0.866654
PEG10,12.7321,14.3232,12.0165,16.7275,12.0931,13.8426
LOC100132356,2.10138,1.28459,1.39065,2.34341,1.73927,1.59994
DIMT1,18.5025,21.3393,19.2134,21.6132,20.8878,21.6127
C9orf9,2.98753,2.78414,3.34094,3.17825,3.25981,3.08967
IRF1,16.6595,13.6228,15.6043,69.2442,72.1575,71.2856
TNXB,0.0297655,0.0128404,0.0244855,0.0553372,0.0485221,0.101034
TRIM31,0.0210751,0,0,0,0,0.0197894
GLIPR2,22.6078,24.4435,23.8124,15.2817,16.6435,14.428
SETD8,16.9192,17.4333,17.9362,20.6304,23.0301,23.8975
CD82,23.9636,31.8637,29.1552,26.0954,36.5969,25.7072
RBX1,49.9481,55.6626,53.0436,30.6919,26.7614,29.7071
LOC100288637,1.13503,1.3526,1.15654,2.0042,1.62042,1.80929
FAM210B,28.1423,26.0704,26.6805,20.875,18.166,20.8399
C12orf65,6.59079,6.7446,6.91705,7.45951,7.24488,7.45466
WLS,33.5196,38.964,34.2915,32.1963,30.846,30.4317
SDC3,18.9045,19.7712,19.4871,15.3389,15.5455,15.5368
CSAD,8.26475,5.64944,7.84366,7.77976,7.18244,7.13331
B3GNT3,0.0588013,0,0.0354581,0.0958625,0.112436,0.127892
ZNF383,1.79966,1.50441,1.80478,2.52385,1.86284,2.60388
DEK,51.6488,51.7581,55.5476,85.5218,80.8396,85.7155
ITGB8,9.38001,8.5298,8.9821,8.39463,7.58547,6.72107
SAMD7,0.0366331,0,0,0,0,0
RRP7A,6.36708,7.09758,6.90693,8.06898,8.85611,8.11754
BRCA1,1.32612,2.10279,1.31911,3.08915,2.87303,3.33614
LPAR6,6.45418,4.5672,6.27857,4.17173,2.88144,2.92196
LEPROT,67.4542,54.7646,67.3001,46.7159,45.6866,42.211
LOC102723885,0,0.0945746,0,0,0,0
MATN4,0.110611,0.17618,0.0619675,0,0.120333,0.0317802
UBE2D4,1.95725,1.62738,1.68563,1.33791,2.01641,1.82806
TRPC4,17.3682,20.0737,18.6901,6.03807,11.1143,6.15036
RPL8,581.467,604.289,625.943,645.479,665.381,692.611
ZNF628,2.33288,2.44369,2.46898,1.72644,2.24716,2.15931
ZNF117,9.83456,8.1404,9.96714,9.60239,6.67297,6.90257
CTAGE6,0.280962,0.319842,0.352494,0.249794,0.337826,0.254518
WBP1,28.1557,26.2762,28.8187,19.0799,19.4707,20.7977
ETNK1,14.0302,13.1397,15.6527,14.5625,14.6681,12.3001
LRRC37A11P,0.0173691,0,0,0,0.00711927,0.00805149
IL10RB,19.8836,15.7649,16.3816,18.3148,19.551,17.6102
FAF1,12.773,13.3632,13.0334,22.9606,21.3583,23.421
EPHA8,0.00903372,0,0,0,0,0
LOC101928324,0.0808807,0.159461,0.0730489,0,0.231334,0
C15orf59,0.197249,0.120429,0.0898502,0.0851303,0.0749029,0.0852023
ZNF70,1.64262,1.41392,1.54928,1.07628,1.1192,1.11772
SH3PXD2A-AS1,0.0226356,0.0216199,0,0,0.0548513,0.0214102
MUSTN1,0.0574566,0.524526,0.64121,1.05849,0.533947,0.756703
CPEB2,6.6106,5.64446,7.10594,13.1311,12.3694,12.3734
STAB1,0.0471729,0.0128774,0.0122609,0.0198282,0.016641,0.0124322
RFX8,0.195624,0.0628489,0.0290213,0.570562,0.212538,0.911083
MESP1,0.534062,0.314638,0.594418,0.184202,0.226055,0.339263
LINC00488,0.227172,0.0365874,0.135942,0.201405,0.0927767,0.109714
